Year,Count,Types,Percentage
2011,80,Jumping before a moving vehicle,0.3229713363,
2012,94,Jumping before a moving vehicle,0.3661862096,
2013,91,Jumping before a moving vehicle,0.3427495292,
2014,98,Jumping before a moving vehicle,0.3394527191,
2015,107,Jumping before a moving vehicle,0.3489889106,
1995,14,Crashing of motor vehicle,0.0592216582,
1996,11,Crashing of motor vehicle,0.0453982666,
1997,11,Crashing of motor vehicle,0.041556479,
1998,12,Crashing of motor vehicle,0.0454373343,
1999,17,Crashing of motor vehicle,0.0682730924,
2000,10,Crashing of motor vehicle,0.0418060201,
2001,8,Crashing of motor vehicle,0.0323755565,
2002,14,Crashing of motor vehicle,0.0601116359,
2003,9,Crashing of motor vehicle,0.0415896488,
2004,10,Crashing of motor vehicle,0.0469483568,
2005,9,Crashing of motor vehicle,0.0429389313,
2006,12,Crashing of motor vehicle,0.0559701493,
2007,16,Crashing of motor vehicle,0.0707651482,
2008,23,Crashing of motor vehicle,0.0987972509,
2009,26,Crashing of motor vehicle,0.1101228293,
2010,35,Crashing of motor vehicle,0.1450476585,
2011,19,Crashing of motor vehicle,0.0767056924,
2012,35,Crashing of motor vehicle,0.1363459291,
2013,25,Crashing of motor vehicle,0.0941619586,
2014,31,Crashing of motor vehicle,0.1073779009,
2015,40,Crashing of motor vehicle,0.1304631442,
1995,46,Other and unspecified,0.1945854484,
1996,39,Other and unspecified,0.1609574907,
1997,67,Other and unspecified,0.2531167359,
1998,55,Other and unspecified,0.2082544491,
1999,50,Other and unspecified,0.2008032129,
2000,67,Other and unspecified,0.2801003344,
2001,52,Other and unspecified,0.210441117,
2002,48,Other and unspecified,0.2060970374,
2003,62,Other and unspecified,0.2865064695,
2004,42,Other and unspecified,0.1971830986,
2005,48,Other and unspecified,0.2290076336,
2006,49,Other and unspecified,0.2285447761,
2007,64,Other and unspecified,0.2830605927,
2008,65,Other and unspecified,0.279209622,
2009,49,Other and unspecified,0.2075391783,
2010,29,Other and unspecified,0.1201823456,
2011,43,Other and unspecified,0.1735970933,
2012,50,Other and unspecified,0.1947798987,
2013,64,Other and unspecified,0.2410546139,
2014,49,Other and unspecified,0.1697263595,
2015,59,Other and unspecified,0.1924331376,
